C,H,O,N,S,Na,m/z
19,27,9,1,0,0,412.161304
20,31,8,1,0,0,412.197689
18,22,9,0,1,0,413.091176
18,22,11,0,0,0,413.108934
19,26,8,0,1,0,413.127561
21,22,7,2,0,0,413.135424
19,26,10,0,0,0,413.14532
20,30,7,0,1,0,413.163947
20,30,9,0,0,0,413.181705
21,34,8,0,0,0,413.21809
21,21,8,1,0,0,414.119439
18,25,10,1,0,0,414.140569
22,25,7,1,0,0,414.155825
19,29,9,1,0,0,414.176954
23,29,6,1,0,0,414.19221
20,20,8,2,0,0,415.114688
18,24,11,0,0,0,415.124584
19,28,8,0,1,0,415.143211
21,24,7,2,0,0,415.151074
19,28,10,0,0,0,415.16097
23,28,7,0,0,0,415.176226
20,32,9,0,0,0,415.197355
24,32,6,0,0,0,415.212611
21,36,8,0,0,0,415.23374
21,23,8,1,0,0,416.135089
22,27,7,1,0,0,416.171475
23,31,6,1,0,0,416.20786
19,18,9,2,0,0,417.093953
18,26,9,0,1,0,417.122476
20,22,8,2,0,0,417.130338
18,26,11,0,0,0,417.140234
22,26,8,0,0,0,417.15549
21,26,7,2,0,0,417.166724
19,30,10,0,0,0,417.17662
23,30,7,0,0,0,417.191876
22,30,6,2,0,0,417.203109
24,34,6,0,0,0,417.228261
20,21,9,1,0,0,418.114354
21,25,8,1,0,0,418.150739
22,29,7,1,0,0,418.187125
23,33,6,1,0,0,418.22351
20,20,10,0,0,0,419.098369
19,20,9,2,0,0,419.109603
21,24,9,0,0,0,419.134755
20,24,8,2,0,0,419.145988
22,28,8,0,0,0,419.17114
21,28,7,2,0,0,419.182374
23,32,7,0,0,0,419.207526
24,36,6,0,0,0,419.243911
19,19,10,1,0,0,420.093618
20,23,9,1,0,0,420.130004
21,27,8,1,0,0,420.166389
22,31,7,1,0,0,420.202775
18,18,10,2,0,0,421.088867
20,22,10,0,0,0,421.114019
19,22,9,2,0,0,421.125253
21,26,9,0,0,0,421.150405
20,26,8,2,0,0,421.161638
22,30,8,0,0,0,421.18679
23,34,7,0,0,0,421.223176
24,38,6,0,0,0,421.259561
19,21,10,1,0,0,422.109269
20,25,9,1,0,0,422.145654
21,29,8,1,0,0,422.182039
22,33,7,1,0,0,422.218425
19,20,11,0,0,0,423.093284
18,20,10,2,0,0,423.104517
20,24,8,0,1,0,423.111911
20,24,10,0,0,0,423.129669
19,24,9,2,0,0,423.140903
21,28,9,0,0,0,423.166055
20,28,8,2,0,0,423.177288
22,32,8,0,0,0,423.20244
23,36,7,0,0,0,423.238826
19,23,10,1,0,0,424.124919
20,27,9,1,0,0,424.161304
21,31,8,1,0,0,424.197689
22,35,7,1,0,0,424.234075
19,22,9,0,1,0,425.091176
19,22,11,0,0,0,425.108934
20,26,8,0,1,0,425.127561
20,26,10,0,0,0,425.145319
21,30,9,0,0,0,425.181705
22,34,8,0,0,0,425.21809
23,38,7,0,0,0,425.254476
18,21,11,1,0,0,426.104183
19,25,10,1,0,0,426.140569
23,25,7,1,0,0,426.155825
20,29,9,1,0,0,426.176954
21,33,8,1,0,0,426.213339
19,24,9,0,1,0,427.106826
19,24,11,0,0,0,427.124584
20,28,8,0,1,0,427.143211
22,24,7,2,0,0,427.151074
20,28,10,0,0,0,427.16097
21,32,9,0,0,0,427.197355
22,36,8,0,0,0,427.23374
22,23,8,1,0,0,428.135089
19,27,10,1,0,0,428.156219
23,27,7,1,0,0,428.171475
20,31,9,1,0,0,428.192604
19,26,9,0,1,0,429.122476
21,22,8,2,0,0,429.130338
19,26,11,0,0,0,429.140234
20,30,8,0,1,0,429.158861
22,26,7,2,0,0,429.166724
20,30,10,0,0,0,429.17662
24,30,7,0,0,0,429.191876
21,34,9,0,0,0,429.213005
25,34,6,0,0,0,429.228261
21,21,9,1,0,0,430.114354
22,25,8,1,0,0,430.150739
23,29,7,1,0,0,430.187125
24,33,6,1,0,0,430.22351
20,20,9,2,0,0,431.109603
21,24,8,2,0,0,431.145988
23,28,8,0,0,0,431.17114
